choice_beta,choice_r_easy_beta,choice_r_hard_low_beta,choice_r_reward_beta,harvest_cost,lag_r_easy_beta,lag_r_hard_low_beta,lag_r_reward_beta,pname,travel_cost_easy,travel_cost_hard
1.0,0.021444767097753017,0.22749930241680538,0.11124369076952613,0.10755879576346693,-0.08394377399986534,0.21951762514650522,-0.2106019740550436,choice_beta,0.008535929489750514,0.04547541095484806
0.021444767097753017,1.0,0.02797255486466979,0.029286422067995324,-0.36626812271468095,-0.09516632453586787,-0.23409136350713733,-0.09619628957281127,choice_r_easy_beta,-0.36473979175246246,-0.3162753461976088
0.22749930241680538,0.02797255486466979,1.0,-0.10281044558797225,-0.7180271797129223,-0.0685641186143921,-0.7890528767919438,-0.05533753796914078,choice_r_hard_low_beta,-0.6726624136703374,-0.6629737936087094
0.11124369076952613,0.029286422067995324,-0.10281044558797225,1.0,0.0945739191940477,-0.14289510238577036,0.32983789677074343,-0.16718257386824706,choice_r_reward_beta,0.10629108949371566,0.09108910707044074
0.10755879576346693,-0.36626812271468095,-0.7180271797129223,0.0945739191940477,1.0,0.2062062413482624,0.8742790344083929,0.10488360660291673,harvest_cost,0.9443862051495416,0.9413570022082044
-0.08394377399986534,-0.09516632453586787,-0.0685641186143921,-0.14289510238577036,0.2062062413482624,1.0,0.03538260360437213,0.23549318548478113,lag_r_easy_beta,0.1943646460664432,0.16070736317923942
0.21951762514650522,-0.23409136350713733,-0.7890528767919438,0.32983789677074343,0.8742790344083929,0.03538260360437213,1.0,0.0023972246973714218,lag_r_hard_low_beta,0.82934029663859,0.8257302058363967
-0.2106019740550436,-0.09619628957281127,-0.05533753796914078,-0.16718257386824706,0.10488360660291673,0.23549318548478113,0.0023972246973714218,1.0,lag_r_reward_beta,0.11545207562417328,0.18131239239891775
0.008535929489750514,-0.36473979175246246,-0.6726624136703374,0.10629108949371566,0.9443862051495416,0.1943646460664432,0.82934029663859,0.11545207562417328,travel_cost_easy,1.0,0.9530075121077771
0.04547541095484806,-0.3162753461976088,-0.6629737936087094,0.09108910707044074,0.9413570022082044,0.16070736317923942,0.8257302058363967,0.18131239239891775,travel_cost_hard,0.9530075121077771,1.0
